ProductID;Title;Category;Stock;Available;LOT;Pcs;AgeInDays;COGS;Excise;CPU;Total;GrandTotal
2100005955;Murray McDavid Mission Islay Trilogy 1969;;1;1;18/04/2019;1;1021;45,25;3,696;0;48,946;48,95
1023167;nginious! Vermouth Cask Finish;;7;7;02/12/2021;4;62;49,6025;3,696;0,5892;53,8877;377,21
1022936;Nikka Coffey Gin;;7;7;03/01/2022;3;30;49,6025;3,696;0,5892;53,8877;377,21
1022309;Nikka Coffey Malt Whisky;;6;6;28/01/2022;6;5;38,32;3,696;0,9577;42,9737;257,84
1022921;Nikka Days Blended Whisky;;14;14;12/11/2021;2;82;59,4502;3,9732;0,8041;64,2275;899,19
1007434;Nikka Miyagikyo Single Malt Japanese Whisky;;14;14;03/01/2022;6;30;59,4502;3,9732;0,8041;64,2275;899,19
2100006025;Nikka Tailored Premium Blended Whisky;;14;14;28/01/2022;6;5;59,4502;3,9732;0,8041;64,2275;899,19
1011405;Nikka Taketsuru Pure Malt (700ml);;5;5;23/12/2021;5;41;32,5565;4,8972;0;37,4537;187,27
1018127;Nordés Atlantic Galician Gin;;1;1;22/04/2020;1;651;161,1685;4,2504;0;165,4189;165,42
1007423;Nusbaumer Poire Williams;;3;3;28/12/2021;3;36;93;5,2114;0,3704;98,5818;295,75
2100006866;O'live Gin The Innocent;;1;1;16/10/2020;1;474;621,6;3,9732;0;625,5732;625,57
2100007428;O'live Rum;;10;10;24/01/2022;12;9;16,49;3,696;0,7898;20,9758;209,76
1004892;Oban 14 Year Old;;40;40;19/10/2018;40;1202;23,88;0;9,9684;33,8484;1.353,94
1014977;Ocho Blanco Tequila;;117;117;31/08/2020;125;520;34,8564;3,96;21,0929;59,9093;7.009,39
1019353;Ocho Reposado Tequila;;6;6;24/01/2022;6;9;23,25;3,696;1,3942;28,3402;170,04
2100007439;Old Dan Tucker Kentucky Bourbon Whiskey;;123;123;16/03/2021;124;323;13,018;4,2174;1,0411;18,2765;2.248,01
1020048;Old Monk Supreme Rum;;4;4;22/11/2021;4;72;19,99;3,9732;0,7255;24,6887;98,75
1005278;Old Pulteney 12 Year Old;;2;2;14/12/2021;2;50;29,4;4,3428;0,5071;34,2499;68,5
1022145;Old Rip Van Winkle 10 Year Old 107 Proof (Tasting sample);;6;6;24/01/2022;6;9;17,4;3,3264;1,3942;22,1206;132,72
2100006050;One Sage & Apple Gin;;7;7;01/03/2021;1;338;18,7;4,0656;0,6373;23,4029;163,82
2100006049;One Sage Gin;;7;7;01/06/2021;6;246;18,7;4,0656;0,6373;23,4029;163,82
1021473;Opihr Oriental Spiced London Dry Gin;;3;3;28/12/2021;3;36;36,95;3,9732;0,3704;41,2936;123,88
2100007448;Our/Amsterdam Vodka;;12;12;28/12/2021;12;36;9,95;4,2504;0,3704;14,5708;174,85
2100007447;Our/Berlin Vodka;;6;6;28/12/2021;6;36;12,4;3,696;0,3704;16,4664;98,8
1024231;Our/Vodka Berlin, Amsterdam, London;;19;19;14/01/2021;19;384;72;3,696;0,6364;76,3324;1.450,32
1008314;Pappy Van Winkle's Family Reserve Bourbon 15 Year Old;;6;6;24/01/2022;6;9;15,7;0;1,3942;17,0942;102,57
1021624;Pappy Van Winkle's Family Reserve Bourbon 20 Year Old (Tasting sample);;5;5;05/11/2021;5;89;39,1832;4,2596;0,0023;43,4451;217,23
1021873;Park Cigar Blend XO Vieille Fine Champagne Cognac;;25;25;08/12/2020;26;421;21,5357;4,1618;2,1798;27,8773;696,93
1022233;Parker's Heritage Collection 24 Year Old Bourbon Whiskey (Tasting Sample);;9;9;08/12/2020;9;421;9,05;1,188;2,1906;12,4286;111,86
2100007158;Parson Classy Premium Gin;;159;159;01/09/2021;159;154;0;0,3366;0,5027;0,8393;133,45
2100007157;Parson Cosy Premium Gin;;2;2;19/10/2021;2;106;10,7582;4,158;0,4761;15,3923;30,78
2100007155;Parson Sunny Premium Gin;;2;2;30/06/2021;2;217;12,25;3,7884;0,1092;16,1476;32,3
1014615;Pastis 51 Anisée (1L);;8;8;19/04/2021;2;289;12,0625;3,7884;0,5059;16,3568;130,85
1007414;Patron XO Coffee Liqueur;;8;8;23/11/2021;6;71;12,0625;3,7884;0,5059;16,3568;130,85
1023268;Paul John Classic Select Cask;;1;1;23/10/2018;1;1198;139,77;3,9732;0;143,7432;143,74
1011820;Paul John Edited;;5;5;31/05/2021;5;247;32;3,9732;0,3462;36,3194;181,6
1013621;Paul John Peated Select Cask;;2;2;14/12/2021;2;50;93,95;3,696;0,5145;98,1605;196,32
1007431;Peat's Beast Cask Strength;;3;3;24/01/2022;3;9;24,76;3,696;1,2328;29,6888;89,07
1006669;Peat's Beast Single Malt Whisky;;2;2;07/09/2021;2;148;28,2;4,3428;0,6154;33,1582;66,32
1024225;Perfectomundo Tequila Blanco;;4;4;28/12/2021;4;36;8,99;3,696;0,3704;13,0564;52,23
1022790;Pikesville 110 Proof Straight Rye Whiskey;;21;21;07/12/2021;6;57;13,1;3,696;0,7389;17,5349;368,23
2100007347;Planat Overproof;;21;21;22/12/2021;6;42;13,1;3,696;0,7389;17,5349;368,23
2100007267;Plantation Gran Anejo Guatemala and Belize Rum;;21;21;24/01/2022;12;9;13,1;3,696;0,7389;17,5349;368,23
2100007398;Plantation Stiggins' Fancy Pineapple Rum;;3;3;28/12/2021;5;36;14,5;3,696;0,4341;18,6301;55,89
1023875;Port Ellen 21 Year Old 1980 Silver Seal (Sestante Collection);;4;4;03/01/2022;4;30;20,78;3,696;0,6446;25,1206;100,48
1023798;Port Ellen 27 Year Old 1978; 6th Release;5;5;10/11/2021;2;84;22;3,696;0,4819;26,1779;130,89
2100007192;Poseidon Dry Gin;;5;5;23/11/2021;3;71;22;3,696;0,4819;26,1779;130,89
2100007585;Powers Irish Whiskey;;64;64;08/07/2020;68;574;31,72;5,0688;0,7829;37,5717;2.404,59
1022688;Proper No. Twelve Irish Whiskey;;2;2;07/12/2021;2;57;30,1256;4,2227;0,4842;34,8325;69,67
1023835;Puntacana XOX 50 Aniversario Rum;;6;6;19/11/2020;1;440;19,551;3,234;0;22,785;136,71
1023064;Pusser's 15 Year Old The Crown Jewel;;6;6;28/04/2021;6;280;19,551;3,234;0;22,785;136,71
2100007427;Pusser's Navy Rum Original Admiralty Rum;;6;6;24/01/2022;6;9;21,5;4,158;1,3942;27,0522;162,31
1003573;Pyrat XO Reserve Rum;;1;1;02/07/2021;1;215;42,5695;3,8808;0;46,4503;46,45
1022459;Queen of the South 8 Year Old;;6;6;28/06/2021;2;219;43,9074;3,8808;0,863;48,6512;291,91
1022603;Rampur Vintage Select Casks;;6;6;03/01/2022;4;30;43,9074;3,8808;0,863;48,6512;291,91
1012404;Rare Malts Rosebank 22 Year Old 1981;;8;8;26/10/2021;2;99;22,1347;3,102;0,6311;25,8678;206,94
1023726;Rebel 100 Proof Straight Bourbon Whiskey;;8;8;22/11/2021;6;72;22,1347;3,102;0,6311;25,8678;206,94
2100004945;Rebel 100 Proof Straight Bourbon Whiskey;;2;2;02/12/2021;2;62;7,52;2,1252;0,5241;10,1693;20,34
1013856;Rebel Kentucky Straight Bourbon Whiskey;;1;1;28/12/2021;1;36;31,6;4,0102;0,3704;35,9806;35,98
2100006865;Red Eye Louie's Rumquila;;4;4;28/12/2021;4;36;16,4;3,696;0,3704;20,4664;81,87
1006864;Redbreast 12 Year Old;;125;125;28/04/2021;125;280;26,9088;3,9732;0,1278;31,0098;3.876,23
1006866;Redbreast 15 Year Old;;204;204;10/05/2021;1;268;15;2,1252;0,4902;17,6154;3.593,54
1022468;Redbreast 21 Year Old (Tasting Sample);;204;204;01/02/2022;204;1;15;2,1252;0,4902;17,6154;3.593,54
1021841;Redbreast Lustau Edition;;1;1;23/06/2021;1;224;947,8383;5,045;0;952,8833;952,88
1007339;Reisetbauer Blue Gin;;1;1;23/06/2021;1;224;1.226,31;3,7237;0;1.230,03;1.230,03
1022293;Reisetbauer Carrot Brandy;;1;1;26/03/2021;1;313;58,4345;2,838;0;61,2725;61,27
2100007191;Remy Martin End Of The Year Edition VSOP Cognac;;4;4;28/12/2021;4;36;21,5;4,3428;0,3704;26,2132;104,85
2100006964;Riserva Carlo Alberto Amaro Mandragola;;1;1;;;;32,0643;4,158;0,5248;36,7471;36,75
1004207;Rittenhouse 100 Proof Straight Rye Whisky;;4;4;14/12/2021;4;50;19,75;3,696;0,5145;23,9605;95,84
1022027;Roe & Co Blended Irish Whiskey;;4;4;22/11/2021;4;72;46,9;4,158;0,7255;51,7835;207,13
1003552;Ron Abuelo 12 Year Old Rum;;3;3;31/05/2021;3;247;70,5;3,9732;0,3277;74,8009;224,4
2100006020;Ron Abuelo 12 Year Old Two Oaks;;5;5;06/10/2021;5;119;34;3,9732;0,5122;38,4854;192,43
1003665;Ron Barceló Imperial;;15;15;22/12/2021;16;42;13,25;3,696;0,8636;17,8096;267,14
2100007432;Ron Barcelo Imperial Premium Blend 30 Aniversario;;3;3;17/12/2020;3;412;22,5435;3,9732;0;26,5167;79,55
1023090;Ron Botran 15 Year Old Reserva;;1;1;06/10/2021;1;119;18,75;0;0,5122;19,2622;19,26
1018303;Ron Botran 18 Year Old Solera 1893;;3;3;28/12/2021;3;36;15,9;2,706;0,3704;18,9764;56,93
2100007433;Ron Centenario 12 Year Old Gran Legado;;7;7;10/11/2021;1;84;33,1;3,9732;0,4819;37,5551;262,89
1020426;Ron Centenario 25 Years Gran Reserva;;7;7;23/11/2021;6;71;33,1;3,9732;0,4819;37,5551;262,89
1022123;Ron Centenario 30 Year Old Edicion Limitada;;1;1;14/09/2021;1;141;11,8211;2,64;0,6308;15,0919;15,09
2100006671;Ron Centenario Conmemorativo 9 Años Rum;;1;1;30/06/2021;1;217;15,35;2,64;0;17,99;17,99
1023763;Ron Colón Salvadoreño Coffee Infused Rum;;36;36;03/01/2022;36;30;10,8333;3,696;0,6725;15,2018;547,26
1023975;Ron Colón Salvadoreño Coffee Infused Rum Green Label;;18;18;26/01/2022;1;7;14,03;3,9547;0,9438;18,9285;340,71
1023762;Ron Colón Salvadoreño Dark Aged Rum;;18;18;28/01/2022;17;5;14,03;3,9547;0,9438;18,9285;340,71
2100006234;Ron Colón Salvadoreño RumRye;;5;5;26/10/2021;6;99;16,0008;3,696;0,4466;20,1434;100,72
1003624;Ron de Jeremy;;1;1;21/12/2017;1;1504;25,3566;0,3178;0;25,6744;25,67
1022683;Ron de Jeremy Holy Wood 18 Year Old Bourbon Cask;;12;12;24/01/2022;12;9;18,4;3,9732;0,7872;23,1604;277,92
1022685;Ron de Jeremy Holy Wood 20 Year Old Malt Whisky Barrel;;12;12;24/01/2022;12;9;18,4;3,9732;0,7872;23,1604;277,92
2100006672;Ron Esclavo Gran Reserva Ron Dominicana;;5;5;30/06/2021;5;217;11,45;3,927;0,1143;15,4913;77,46
2100006801;Ron Malteco 10 Year Old Rum;;24;24;03/01/2022;24;30;2,6666;1,7325;0,6725;5,0716;121,72
1020898;Ron Matusalem Gran Reserva 23 Rum;;24;24;03/01/2022;24;30;2,6666;1,7325;0,6725;5,0716;121,72
1003474;Ron Millonario Sistema Solera 15 Reserva;;88;88;03/01/2022;89;30;6,25;5,5687;0,6725;12,4912;1.099,23
1003659;Ron Zacapa Solera 23;;1;1;16/10/2020;1;474;1.367,52;5,2965;0;1.372,82;1.372,82
1022136;Ron Zacapa XO Solera Gran Reserva Especial (700mL);;2;2;22/02/2018;2;1441;89,5257;0,2685;0;89,7942;179,59
2100007581;Rooster and Wolf Fine Brandy;;3;3;14/12/2020;3;415;59,261;3,696;0;62,957;188,87
2100006713;Rooster Rojo Tequila Blanco;;1;1;29/05/2018;1;1345;51,3036;0,297;0;51,6006;51,6
1009084;Rosebank 21 Year Old 1990;;9;9;17/11/2021;9;77;11,9;3,696;0;15,596;140,36
1023662;Royal Brackla 12 Year Old;;2;2;17/11/2021;3;77;11,9;3,696;0;15,596;31,19
1021973;Royal Lochnagar Selected Reserve;;2;2;17/11/2021;2;77;11,9;3,696;0;15,596;31,19
2100006200;Royal Lochnagar The Distillers Edition 1998 Muscat Cask Finish;;7;7;18/03/2021;1;321;5,95;5,94;0,4872;12,3772;86,64
1021825;Rum XO III 0.5l;;7;7;06/10/2021;6;119;5,95;5,94;0,4872;12,3772;86,64
1024304;Sadler's Peaky Blinder Irish Whiskey;;6;6;24/01/2022;6;9;20,85;3,234;0,7872;24,8712;149,23
1022306;Saison Rum;;4;4;12/02/2021;4;355;45,79;5,0866;0;50,8766;203,51
2100006807;Šamar Brandy;;3;3;26/10/2021;3;99;22,8546;4,2504;0,4082;27,5132;82,54
1003524;Santa Teresa 1796 Solera Rum;;4;4;03/01/2022;4;30;30,1;5,1282;0,7075;35,9357;143,74
2100007406;Santa Teresa Añejo Gran Reserva;;7;7;24/01/2022;8;9;18,158;4,814;0,7693;23,7413;166,19
1024004;Säntis Malt Apricot Malt Liqueur;;11;11;14/12/2021;12;50;15,63;4,2504;0,496;20,3764;224,14
1007253;Säntis Malt Edition Dreifaltigkeit;;20;20;21/01/2021;20;377;13;3,696;0,2475;16,9435;338,87
1019740;Santos Dumont XO Rum;;3;3;07/12/2021;3;57;46,15;5,082;0,5873;51,8193;155,46
1023018;Savanna Rhum Vieux Traditionnel 7 Year Old;;3;3;14/12/2021;3;50;48,9;6,006;0,5145;55,4205;166,26
1022099;Sazerac 18 Year Old (Spring 2016) (Tasting sample);;12;12;23/11/2021;12;71;11,75;3,8808;0,4789;16,1097;193,32
1004205;Sazerac Straight Rye Whiskey;;1;1;28/12/2021;1;36;13,55;3,696;0,3704;17,6164;17,62
1022506;Scapa The Orcadian Glansa;;1;1;15/07/2020;1;567;1.016,40;4,2504;0;1.020,65;1.020,65
1022671;Seedlip Garden 108;;1;1;15/07/2020;1;567;653,5042;1,4335;0;654,9377;654,94
2100006006;Sephina;;1;1;10/11/2021;1;84;17,8;3,696;0,4848;21,9808;21,98
1022810;Shakmat 23 Year Old;;6;6;24/01/2022;6;9;9,35;3,696;1,3942;14,4402;86,64
